zone,left_ratio,middle_ratio,right_ratio,timestamp
MIDDLE,0.6025,0.0,0.2969,23:48:16
MIDDLE,0.6025,0.0,0.4351,23:48:16
MIDDLE,0.8993,0.0,0.4351,23:48:16
MIDDLE,0.8993,0.0,0.496,23:48:17
MIDDLE,1.0096,0.0,0.496,23:48:17
MIDDLE,1.0096,0.0,0.4905,23:48:17
MIDDLE,1.1411,0.0,0.4971,23:48:17
MIDDLE,1.1577,0.0,0.4971,23:48:17
MIDDLE,1.1577,0.0,0.4387,23:48:17
MIDDLE,1.1646,0.0,0.431,23:48:17
MIDDLE,1.1708,0.0,0.431,23:48:18
MIDDLE,1.1708,0.0,0.3923,23:48:18
MIDDLE,1.1708,0.0,0.3187,23:48:18
MIDDLE,1.1495,0.0,0.3331,23:48:18
MIDDLE,1.1796,0.0,0.3891,23:48:18
MIDDLE,1.0559,0.0,0.3978,23:48:18
MIDDLE,1.0452,0.0,0.358,23:48:19
MIDDLE,1.0477,0.0,0.3662,23:48:19
MIDDLE,1.4298,0.0,0.3662,23:48:19
MIDDLE,1.2897,0.0,0.3474,23:48:19
MIDDLE,1.2796,0.0,0.3474,23:48:19
MIDDLE,1.2796,0.0,0.3441,23:48:19
MIDDLE,1.3976,0.0,0.3441,23:48:19
MIDDLE,1.3976,0.0,0.3302,23:48:20
MIDDLE,1.478,0.0,0.3302,23:48:20
MIDDLE,1.478,0.0,0.353,23:48:20
MIDDLE,1.5026,0.0,0.3207,23:48:20
MIDDLE,1.5634,0.0,0.3207,23:48:20
MIDDLE,1.5387,0.0,0.3207,23:48:20
MIDDLE,1.5387,0.0,0.3953,23:48:20
MIDDLE,1.069,0.0,0.3874,23:48:20
MIDDLE,0.8644,0.0,0.3871,23:48:21
MIDDLE,0.4727,0.0,0.3409,23:48:21
MIDDLE,0.6526,0.0,0.3409,23:48:21
MIDDLE,0.6526,0.0,0.339,23:48:21
MIDDLE,0.864,0.0,0.2957,23:48:21
MIDDLE,0.841,0.0,0.2957,23:48:21
MIDDLE,0.841,0.0,0.2584,23:48:22
MIDDLE,0.8666,0.0,0.303,23:48:22
MIDDLE,0.8769,0.0,0.3059,23:48:22
MIDDLE,0.9585,0.0,0.3634,23:48:22
MIDDLE,0.9661,0.0,0.3829,23:48:22
MIDDLE,0.947,0.0,0.4345,23:48:23
MIDDLE,0.947,0.0,0.4206,23:48:23
MIDDLE,0.9302,0.0,0.3789,23:48:23
MIDDLE,0.7696,0.0,0.4557,23:48:23
MIDDLE,0.9636,0.0,0.5222,23:48:23
MIDDLE,1.1314,0.0,0.5543,23:48:24
MIDDLE,1.0367,0.0,0.5781,23:48:24
MIDDLE,0.9212,0.0,0.6924,23:48:24
MIDDLE,0.9243,0.0,0.6864,23:48:24
MIDDLE,0.992,0.0,0.6884,23:48:24
MIDDLE,1.0161,0.0,0.6391,23:48:25
MIDDLE,1.0692,0.0,0.5802,23:48:25
MIDDLE,0.9366,0.0,0.5802,23:48:25
MIDDLE,0.8348,0.0,0.4953,23:48:25
MIDDLE,1.034,0.0,0.4953,23:48:25
MIDDLE,1.034,0.0,0.5447,23:48:26
MIDDLE,1.3833,0.0,0.5447,23:48:26
MIDDLE,1.3833,0.0,0.4049,23:48:26
MIDDLE,1.3951,0.0,0.3786,23:48:26
MIDDLE,1.3768,0.0,0.3786,23:48:26
MIDDLE,1.3768,0.0,0.3742,23:48:26
MIDDLE,1.4756,0.0,0.3742,23:48:26
MIDDLE,1.4756,0.0,0.3832,23:48:26
MIDDLE,1.4478,0.0,0.3832,23:48:26
MIDDLE,1.4478,0.0,0.4765,23:48:27
MIDDLE,1.3439,0.0,0.4765,23:48:27
MIDDLE,1.3439,0.0,0.4841,23:48:27
MIDDLE,1.1807,0.0,0.4841,23:48:27
MIDDLE,1.1807,0.0,0.513,23:48:27
MIDDLE,0.9482,0.0,0.513,23:48:27
MIDDLE,0.9482,0.0,0.5361,23:48:27
MIDDLE,0.9234,0.0,0.5361,23:48:27
MIDDLE,0.9234,0.0,0.4134,23:48:27
MIDDLE,0.986,0.0,0.4134,23:48:27
MIDDLE,0.986,0.0,0.3819,23:48:28
MIDDLE,1.0064,0.0,0.3819,23:48:28
MIDDLE,1.0064,0.0,0.3333,23:48:28
MIDDLE,1.0206,0.0,0.3333,23:48:28
MIDDLE,1.0206,0.0,0.3079,23:48:28
MIDDLE,1.0421,0.0,0.3079,23:48:28
MIDDLE,1.0421,0.0,0.2734,23:48:28
MIDDLE,1.0455,0.0,0.2734,23:48:28
MIDDLE,1.0455,0.0,0.2282,23:48:28
MIDDLE,0.9873,0.0,0.2282,23:48:28
MIDDLE,1.0674,0.0,0.2441,23:48:29
MIDDLE,1.0674,0.0,0.2606,23:48:29
MIDDLE,0.9318,0.0,0.2606,23:48:29
MIDDLE,0.9318,0.0,0.2527,23:48:29
MIDDLE,0.9685,0.0,0.2527,23:48:29
MIDDLE,0.9685,0.0,0.2861,23:48:29
MIDDLE,0.9052,0.0,0.2861,23:48:29
MIDDLE,0.9052,0.0,0.2708,23:48:29
MIDDLE,0.8226,0.0,0.2708,23:48:30
MIDDLE,0.8226,0.0,0.3112,23:48:30
MIDDLE,0.847,0.0,0.3112,23:48:30
MIDDLE,0.847,0.0,0.3967,23:48:30
MIDDLE,0.9932,0.0,0.3967,23:48:30
MIDDLE,0.9932,0.0,0.5067,23:48:30
MIDDLE,0.9616,0.0,0.5067,23:48:30
